,MethodEnum.KNN,MethodEnum.MLP,MethodEnum.SVM,MethodEnum.DT,MethodEnum.NB
0,0.6723044397463002,0.7090909090909091,0.588583509513742,0.7090909090909091,0.7103594080338267
1,0.6824524312896406,0.6824524312896406,0.6816067653276956,0.6824524312896406,0.6938689217758985
2,0.6668076109936575,0.7052854122621565,0.5932346723044397,0.7052854122621565,0.7192389006342494
3,0.6972515856236786,0.6972515856236786,0.4799154334038055,0.6972515856236786,0.7116279069767442
4,0.7048625792811839,0.7027484143763214,0.6063424947145878,0.7027484143763214,0.7167019027484144
5,0.6993657505285412,0.6993657505285412,0.5902748414376321,0.6993657505285412,0.7040169133192389
6,0.6676532769556025,0.7019027484143763,0.47822410147991545,0.7019027484143763,0.7099365750528541
7,0.6900634249471459,0.6997885835095138,0.5433403805496829,0.6997885835095138,0.7052854122621565
8,0.6917547568710359,0.6959830866807611,0.584355179704017,0.6959830866807611,0.6985200845665962
9,0.7247357293868921,0.7023255813953488,0.4739957716701903,0.7023255813953488,0.7150105708245243
10,0.6515856236786469,0.6854122621564482,0.5978858350951374,0.6854122621564482,0.6892177589852009
11,0.6773784355179704,0.6917547568710359,0.46638477801268496,0.6917547568710359,0.7002114164904862
12,0.6684989429175475,0.7048625792811839,0.6050739957716702,0.7048625792811839,0.7090909090909091
13,0.6955602536997886,0.7031712473572939,0.4642706131078224,0.7031712473572939,0.7112050739957717
14,0.692600422832981,0.7006342494714588,0.5699788583509514,0.7006342494714588,0.706553911205074
15,0.6676532769556025,0.6972515856236786,0.6219873150105708,0.6972515856236786,0.7019027484143763
16,0.6985200845665962,0.6985200845665962,0.572938689217759,0.6985200845665962,0.7006342494714588
17,0.6964059196617336,0.6947145877378436,0.5864693446088795,0.6947145877378436,0.7052854122621565
18,0.6964059196617336,0.6887949260042283,0.5830866807610994,0.3090909090909091,0.6989429175475688
19,0.6985200845665962,0.6972515856236786,0.5534883720930233,0.6972515856236786,0.7073995771670191
Mean Accuracy,0.6870190274841438,0.6979281183932347,0.5620718816067652,0.6789429175475686,0.7057505285412262
Standard Deviation,0.017262774632934293,0.0067240310753138065,0.05975244937675925,0.08728695640060294,0.007586102244094454
